STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
ABB,1384,1382,1399,1362.3,1383.15
AEGISLOG,304.1,313.4,317.9,301,308.45
AMARAJABAT,810.7,798.5,814.55,797.3,802.6
AMBALALSA,26.75,26,27.9,25.2,25.2
HDFC,2420.15,2524,2525,2411.7,2531.1
ANDHRAPET,64.15,63.55,66,63.55,65.2
ANSALAPI,5.96,5.86,6.06,5.85,6
UTIQUE,2.69,2.63,2.76,2.55,2.63
ARUNAHTEL,6.62,6.6,6.66,6.6,6.35
BOMDYEING,66.2,67,68.1,66,67.3
ASIANHOTNR,67.75,63,69.9,63,72.5
ATUL,8087.85,8457,8505.1,8020,8364.15
ATVPR,4.48,4.51,4.51,4.26,4.39
BAJAJELEC,1149,1168.9,1171.9,1132.2,1148.85
BAJAJHIND,7.27,6.82,7.65,6.82,6.99
FORCEMOT,1110.6,1114,1140.15,1101.35,1122.05
BAJFINANCE,5450,5348,5524,5330,5484.75
BALRAMCHIN,278.35,269.2,285.55,269,274.45
BANCOINDIA,155.65,155,167.6,154.5,153
CENTURYTEX,481.1,481.25,496.15,474.1,489.6
BANARISUG,1740,1660.55,1875,1660.55,1648
BASF,2230,2061.9,2269.45,2061.9,2073.45
BATAINDIA,1367.3,1340,1382.3,1337.6,1352.2
BEML,1166.35,1157,1207.3,1149.8,1165.25
BEL,131.8,129.4,136.4,128.05,129.85
BEPL,158.75,163.6,165.5,158.2,163.45
TATASTLBSL,72.3,70,75,68.4,69.75
BIHSPONG,4.4,4.4,4.4,4.4,4.32
BIRLACABLE,58.6,59.05,59.5,57.95,58.65
BLUESTARCO,847.25,867.5,867.5,841,867.5
DISAQ,4521,4588,4649.95,4420,4586.65
BNKCAP,188.35,188.1,189.25,187.8,188.75
BPL,34.2,34.75,36.95,34.2,36
OAL,891.85,919,931,878,908.9
CENTEXT,5.14,5.05,5.15,5.05,5.06
CESC,607,615,622.3,604.55,622.55
CHAMBLFERT,217.9,217.1,221.5,214.45,219.5
EXIDEIND,177.9,181,182.7,176.9,178.1
CIPLA,909.05,904,920.6,901.2,906.5
DICIND,396.85,389.9,397,383.15,387.05
CRISIL,1845,1847.95,1871.1,1825.1,1848.7
CGPOWER,69.65,71.3,71.3,68.5,70.25
DABUR,538.45,541.7,545,536,541.7
DALMIASUG,253.45,240.95,259.9,239.5,241.5
