STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
20MICRONS,38.1,39,40.5,38.05,38.7
21STCENMGM,12.25,12.3,12.3,11.95,12.15
3IINFOTECH,7.95,7.7,7.95,7.35,7.6
3MINDIA,25470,25499,25768.6,25104.75,25494.35
3PLAND,10.15,10.5,10.8,9.8,9.95
5PAISA,353.95,364.5,366.55,352,365.1
63MOONS,84.5,88,89.8,84.5,88.3
A2ZINFRA,3.75,3.75,3.8,3.65,3.75
AAKASH,143,145.3,146.2,143,144.3
AARON,51.35,53.75,53.75,51.35,51.7
AARTIDRUGS,709.6,714,722,705.6,718.75
AARTIIND,1601.5,1530.5,1644.75,1530.5,1556.95
AARTISURF,1472,1457.3,1500,1441.1,1457.3
AARVEEDEN,20.45,19.8,20.85,19.8,20.8
AARVI,48.1,48.15,48.8,47.5,48.4
AAVAS,2280,2292.55,2299.4,2205,2292.55
ABAN,31.3,29.6,31.3,29.4,29.85
ABB,1390,1375,1399.4,1360,1381.3
ABBOTINDIA,15150,15000,15294.95,14850,14997.25
ABCAPITAL,114.65,114.8,116.45,113.35,115.9
ABFRL,174.85,176,178.5,174.3,177.75
ABMINTLTD,47.8,47.95,48,45,47.1
ACC,1879,1869,1903.45,1855.05,1877.05
ACCELYA,916.2,949.95,968.75,913.05,956.5
ACCURACY,60,59.95,60.45,58.2,60.35
ACE,145.75,146.9,149.95,144.7,148.3
ACRYSIL,324,327,331.95,320,327.2
ADANIENT,1146,1171,1200.95,1143,1182.3
ADANIGREEN,1023.95,1040.9,1048.6,1011,1055.75
ADANIPORTS,726.4,739,759.45,724.5,746.75
ADANIPOWER,94.7,95.1,98.3,94.45,97
ADANITRANS,1046.75,1048,1060,1035.2,1050.15
ADFFOODS,949,962.05,973.7,935,962.05
ADHUNIKIND,24.05,23.25,25.2,23.25,23.85
ADL,28.25,28,28.5,27.6,29.05
ADORWELD,382.95,365,390,358.45,363.25
ADROITINFO,9.3,9.3,9.3,8.6,8.9
ADSL,47.5,46.5,48.2,46.45,46.8
ADVANIHOTR,56,52,56.5,52,54.2
ADVENZYMES,401.15,396.75,407.45,392.6,405.15
AEGISCHEM,304.6,311,317.95,302.5,308.55
AFFLE,5533,5540,5555.15,5477,5547.85
AGARIND,152.95,154.7,155.05,151.15,155.1
AGCNET,1584.95,1635,1635,1576.25,1626.1
AGRITECH,38.9,37.95,38.9,37.95,37.05
AGROPHOS,11.55,11.55,11.9,11.2,11.55
AHLADA,98,102.4,102.4,97,97.5
AHLEAST,146.95,146.6,147.3,143,147.15
AHLUCONT,284.95,284.25,286.75,282.45,285.4
AHLWEST,204.15,209.1,210.8,202,213.1
AIAENG,1870,1878.8,1890.9,1856.15,1880.15
AIRAN,16.45,15.9,16.5,15.9,16.3
AJANTPHARM,1833,1899.85,1930,1825.3,1891.7
AJMERA,111.5,111,114.95,109.15,112.9
AKASH,185,195,195,185,190.9
AKG,30.9,30.9,30.9,30.9,29.45
AKSHARCHEM,259,246.15,268.7,244.1,247.95
AKSHOPTFBR,6,5.9,6.2,5.8,5.9
AKZOINDIA,2254.9,2211,2273.3,2200,2224.95
ALANKIT,14.3,14.15,14.3,13.3,14.15
ALBERTDAVD,437.25,437,443.5,435,442.8
ALEMBICLTD,110,105.6,111.2,105,106.95
ALICON,465,475,482,456.5,473.95
ALKALI,55.2,56.95,57.5,54.6,57.05
ALKEM,2756,2761.7,2788,2712.3,2761.7
ALKYLAMINE,8465,8145,8644,7911.2,8156.85
ALLCARGO,124.6,123.7,126.85,123.45,123.7
ALLSEC,340,340,348,336,336.55
ALMONDZ,29.6,27.05,29.6,27.05,28.3
ALOKINDS,19.3,19.3,19.6,19,19.4
